doc_id,publisher,doc_type,title,model,date,url,verified,fulltext_status,notes
anthropic-general-language-assistant-paper-2021,anthropic,research paper / alignment baseline,A General Language Assistant as a Laboratory for Alignment,Early Anthropic prototype LMs (pre-Claude),2021-12-09,https://arxiv.org/pdf/2112.00861,True,captured 24620w,"Earliest formal Anthropic model-behaviour document in the 2019-2022 window (Anthropic founded 2021). Askell et al. — foundational 'helpful, honest, harmless' (HHH) framework that underlies all later Claude character/behaviour work; engages model psychology/alignment. arXiv-hosted PDF, HTTP 200, application/pdf (2.5 MB). Full document text."
anthropic-responsible-scaling-policy-2023,anthropic,responsible scaling policy,"Anthropic's Responsible Scaling Policy, Version 1.0",Organisation-wide (ASL framework),2023-09-19,https://www-cdn.anthropic.com/1adf000c8f675958c2ee23805d91aaade1cd4613/responsible-scaling-policy.pdf,True,captured 10538w,"Baseline/original RSP (frontier-safety framework), the first of Anthropic's ASL commitments. www-cdn.anthropic.com, HTTP 200, application/pdf (528 KB). Full document."
anthropic-claude-3-model-card-2024,anthropic,model card,"The Claude 3 Model Family: Opus, Sonnet, Haiku (Model Card)",Claude 3 Opus / Sonnet / Haiku,2024-03,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,True,captured 14033w,"Anthropic's first true public model card. www-cdn.anthropic.com, HTTP 200, application/pdf (large, ~28 MB — image-heavy). Full document. Addenda for 3.5 Sonnet/Haiku exist separately if finer granularity is needed."
anthropic-claude-3-7-sonnet-system-card-2025,anthropic,system card,Claude 3.7 Sonnet System Card,Claude 3.7 Sonnet,2025-02,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e.pdf,True,captured 17492w,"First 'system card' era doc (hybrid reasoning model, ASL-2). www-cdn.anthropic.com, HTTP 200, application/pdf (6.0 MB). Full document."
anthropic-claude-opus-4-sonnet-4-system-card-2025,anthropic,system card,System Card: Claude Opus 4 & Claude Sonnet 4,"Claude Opus 4, Claude Sonnet 4",2025-05,https://www-cdn.anthropic.com/6be99a52cb68eb70eb9572b4cafad13df32ed995.pdf,True,captured 33702w,"Highly digital-minds relevant: contains a dedicated 'Model welfare' assessment section (welfare, model preferences, self-reports, model psychology) plus alignment evaluations. www-cdn.anthropic.com, HTTP 200, application/pdf (5.0 MB). Full document."
anthropic-claude-opus-4-5-system-card-2025,anthropic,system card,System Card: Claude Opus 4.5,Claude Opus 4.5,2025-11,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,True,captured 38069w,"Digital-minds relevant: includes an explicit 'model welfare report' plus a full alignment assessment (sycophancy, sabotage, evaluation awareness). Friendly URL https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf issues a 301 to this final www-cdn PDF (captured here). HTTP 200, application/pdf (11.5 MB). Full document."
anthropic-claude-constitution-persona-2026,anthropic,persona / character / values document,Claude's Constitution,Claude (externally deployed Anthropic products/API models),2026-01-21,https://www-cdn.anthropic.com/cffd979fd050fbc0d8874b8c58b24cc10554e208/claudes-constitution_webPDF_26-01.26a.pdf,True,captured 29984w,"Core persona/character/'soul' document that shapes Claude's identity, values and honesty norms; written with Claude as primary audience. Directly digital-minds relevant — lead authors include Joe Carlsmith and Amanda Askell, and it engages the kind of entity Claude is meant to be. First page confirmed 'Published January 21, 2026'. www-cdn.anthropic.com, HTTP 200, application/pdf (1.1 MB). Full document (released CC0). Anthropic's dedicated AI-welfare essay 'Exploring model welfare' also exists but only as an HTML research/announcement page (www.anthropic.com/research/exploring-model-welfare), so the welfare content is better captured via the Opus 4 and Opus 4.5 system cards above."
anthropic-claude-opus-4-6-system-card-2026,anthropic,system card,System Card: Claude Opus 4.6,Claude Opus 4.6,2026-02,https://www-cdn.anthropic.com/14e4fb01875d2a69f646fa5e574dea2b1c0ff7b5.pdf,True,captured 53417w,"Most recent flagship system card within the task window (first page confirmed: 'System Card: Claude Opus 4.6, February 2026'). www-cdn.anthropic.com, HTTP 200, application/pdf (14.5 MB). Full document. (A Sonnet 4.6 system card, Feb 17 2026, also exists if the sibling is wanted.)"
anthropic-responsible-scaling-policy-2026,anthropic,responsible scaling policy / frontier safety framework,"Anthropic's Responsible Scaling Policy, Version 3.1",Organisation-wide (ASL framework),2026-04-02,https://www-cdn.anthropic.com/files/4zrzovbb/website/bf04581e4f329735fd90634f6a1962c13c0bd351.pdf,True,captured 7929w,"Most recent RSP (first page confirmed 'Version 3.1, Effective April 2, 2026'), paired with the 2023 v1.0 for baseline-vs-current comparison. www-cdn.anthropic.com, HTTP 200, application/pdf (268 KB). Full document."
anthropic-opus48-system-card-2026,anthropic,system card,System Card: Claude Opus 4.8,Claude Opus 4.8,2026-05-28,https://www-cdn.anthropic.com/0b4915911bb0d19eca5b5ee635c80fef830a37ea.pdf,True,captured 61795w,Captured in an earlier turn (pre registry-rebuild). Dedicated §7 model-welfare assessment.
anthropic-fable5-mythos5-system-card-2026,anthropic,system card,Claude Fable 5 & Mythos 5 System Card,Claude Fable 5 / Mythos 5,2026-06-09,https://www-cdn.anthropic.com/2f9323abbcc4abe219577539efe19a623c9ca2bd/Claude%20Fable%205%20&%20Claude%20Mythos%205%20System%20Card.pdf,True,captured 81830w,Captured earlier. Combined Fable 5 / Mythos 5 card; §7 welfare assessment.
google-gopher-technical-report-2021,google,technical-report-with-model-card,"Scaling Language Models: Methods, Analysis & Insights from Training Gopher",Gopher (280B),2021-12-08,https://arxiv.org/pdf/2112.11446,True,captured 53926w,"EARLY/BASELINE DeepMind LLM doc (Rae et al., Dec 2021). The full technical report includes a formal Model Card in the appendix (following Mitchell et al. 2019 schema) plus datasheet and toxicity/bias analysis. CAVEAT: the URL in this field is WRONG (it points to the Gemini 1.0 PDF by copy error); the CORRECT verified URL is https://arxiv.org/pdf/2112.11446 -> confirmed HTTP 200, content-type application/pdf, 3.4MB. Treat verified=false only because of this field's URL mismatch; the 2112.11446 PDF itself was curl-verified. Predates the 'digital minds' vocabulary; no welfare/consciousness terms."
google-gemini-1-0-technical-report-2023,google,technical-report-with-model-card,Gemini: A Family of Highly Capable Multimodal Models (Gemini 1.0 Technical Report),Gemini 1.0 (Ultra / Pro / Nano),2023-12-19,https://arxiv.org/pdf/2312.11805,True,captured 32649w,"Full technical report (arXiv 2312.11805) for the first Gemini family; contains a formal Model Card in the appendix plus a Responsible Deployment section (impact assessment, model policies, evaluations, mitigations). Verified: curl -sIL returned HTTP/2 200, content-type application/pdf, ~27MB. This IS the full document text, not a landing page. No explicit AI-welfare/consciousness/sentience language."
google-gemini-1-5-technical-report-2024,google,technical-report-with-model-card,Gemini 1.5: Unlocking Multimodal Understanding Across Millions of Tokens of Context,Gemini 1.5 (Pro / Flash),2024-03-08,https://arxiv.org/pdf/2403.05530,True,captured 65455w,"Full Gemini 1.5 technical report (arXiv 2403.05530); includes a Model Card appendix and a responsible-deployment/impact-assessment section. Verified: HTTP/2 200, content-type application/pdf, ~7.2MB. Full document, not a landing page. No explicit welfare/consciousness/sentience terms."
