id,stage,subdomain,name,definition,grounding,provisional,grounding_draft3_provisional
A1.1,Acknowledge,Ontological framing,Categorical-framing-under-uncertainty acknowledgment,Developer publicly discloses how it characterises what kind of entity its system is (tool / assistant / agent / character / novel kind) and indicates this characterisation is a deliberate choice rather than self-evident.,"Shanahan, McDonell & Reynolds (2023). Role play with large language models. Nature 623: 493–498.  ·  Shanahan, M. (2024). Talking about Large Language Models. Communications of the ACM.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare, §4 (models/characters/agents trichotomy). Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Butlin et al. (2025). Identifying indicators of consciousness in AI systems, p.9 (system-boundary delineation). Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011",False,
A1.2,Acknowledge,Ontological framing,Framing-consequences acknowledgment,"Developer publicly discloses that its language and categorical-framing choices have downstream effects (on user perception, moral reasoning, or policy) and connects at least one specific choice to a specific effect.","Shanahan, M. (2024). Talking about Large Language Models. Communications of the ACM.  ·  Shanahan, McDonell & Reynolds (2023). Role play with large language models. Nature 623: 493–498.  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto, §§4–7 (framing and the persisting-interlocutor illusion). Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare, §4. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
A2.1,Acknowledge,Consciousness & subjective experience,Phenomenal-consciousness possibility acknowledgment,"Developer publicly discloses a position on whether its flagship model could be phenomenally conscious, with stated reasoning.","Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §3 (companies should publicly and officially acknowledge the possibility; credibility argument).  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §6 (live question whether language agents are phenomenally conscious; HOT/GWT conditions).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §2 (prevalent positive expert views make the prospect serious; overconfident dismissal is misleading).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Possibility/Timing (experts ~90% possible in principle; 20% by 2030 — near-term plausibility).  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, reproducible regime eliciting consciousness-related self-reports across model families.",False,
A2.2,Acknowledge,Consciousness & subjective experience,Phenomenal-consciousness definitional clarity,Developer publicly discloses which sense of 'consciousness' it is using (phenomenal vs access vs sentience vs sapience) when it discusses the topic.,"Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
A2.3,Acknowledge,Consciousness & subjective experience,Theory pluralism acknowledgment,Developer publicly discloses that no single theory of consciousness is settled and that its stance does not rest on one theory being true.,"Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287",False,
A2.4,Acknowledge,Consciousness & subjective experience,Validity-of-method acknowledgment,Developer publicly discloses that current tests/indicators for AI consciousness are not validated and that any assessment is provisional.,"Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287",False,
A2.5,Acknowledge,Consciousness & subjective experience,Internal-process primacy acknowledgment,Developer publicly discloses that behavioural evidence alone is unreliable for assessing consciousness and that internal/architectural evidence is needed.,"Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630, finding that behavioural trade-off patterns do not reliably indicate genuine internal preference (instrumental confound; safety-training triggers).  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), internal abstract representations causally drive behaviour — not mere surface pattern-matching.  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, mechanistic (SAE) gating of self-reports — internal evidence beyond surface behaviour.  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda. ('Questions of Capabilities and Mechanisms').",False,
A2.6,Acknowledge,Consciousness & subjective experience,Gaming-problem acknowledgment,"Developer publicly discloses that systems can mimic indicators of consciousness without the property (the gaming / 'consciousness-washing' problem), threatening the validity of any assessment.","Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Andrews & Birch (2023). What has feelings? Aeon.  ·  Keeling, Street, Birch et al. (2024). Can LLMs make trade-offs involving stipulated pain and pleasure states? arXiv:2411.02432.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Inaccurate Self-Attribution (some systems may systematically and falsely claim subjective experience).  ·  Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630, 'beyond mimicry' — apparent trade-off behaviour may reflect mimicry / instrumental optimisation rather than genuine preference.  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), argues the 'just character simulation / pattern-matching' dismissal is inappropriate — abstract emotion circuitry has functional significance.",False,
A2.7,Acknowledge,Consciousness & subjective experience,Alien-consciousness acknowledgment,"Developer publicly discloses that any consciousness realised in its systems would likely be radically unlike human consciousness (e.g. temporally fragmented or architecturally exotic), not the human-like form users project.","Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Butlin et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
A2.8,Acknowledge,Consciousness & subjective experience,Absence-of-evidence acknowledgment,Developer publicly discloses that failing to find evidence of a mind-property is not itself evidence that the property is absent.,"Birch (2024), The Edge of Sentience (precaution under evidential limits). Oxford University Press.  ·  Butlin et al. (2025), Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011 (indicators not yet validated; under-determination).  ·  Long et al. (2024), Taking AI Welfare Seriously (arXiv:2411.00986).",False,
